,accuracy,precision,recall,f1
start_date,0.9546511627906977,1.0,1.0,1.0
end_date,0.9337209302325581,0.9962779156327544,0.9962779156327544,0.9962779156327544
city,0.9941860465116279,1.0,1.0,1.0
hotel_name,0.9081395348837209,1.0,0.914519906323185,0.9553516819571866
num_guests,0.9918604651162791,1.0,0.9988290398126464,0.9994141769185706
price,0.9953488372093023,1.0,1.0,1.0
total_price,0.9953488372093023,1.0,1.0,1.0
